               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041593,           0.0070494,            0.062902,              0.8426,             0.72831,             0.76601,             0.49808,            0.033898,           0.0042842,            0.022181,              0.0702,           0.0033111,           0.0033111
                   1,            0.040787,            0.006307,              0.0117,             0.84888,             0.91552,             0.87633,             0.49784,            0.038653,           0.0041452,           0.0059941,            0.040068,           0.0065129,           0.0065129
                   2,            0.042381,           0.0061271,            0.006924,             0.82947,              0.9047,             0.85595,             0.46513,            0.041673,           0.0043068,           0.0055137,           0.0098049,           0.0095827,           0.0095827
                   3,            0.042576,           0.0060508,            0.006252,             0.87349,             0.89814,             0.88401,             0.54891,            0.039517,           0.0040078,           0.0037127,            0.009406,            0.009406,            0.009406
                   4,            0.041011,           0.0059006,           0.0053564,             0.87153,             0.89563,             0.88944,             0.59027,            0.037158,           0.0039267,           0.0030197,            0.009406,            0.009406,            0.009406
                   5,            0.040129,           0.0058637,           0.0050873,             0.86776,             0.90036,             0.88142,             0.55046,            0.037139,           0.0039359,           0.0030681,            0.009208,            0.009208,            0.009208
                   6,            0.039054,           0.0057149,           0.0046674,             0.88646,             0.90288,             0.90442,             0.54351,            0.038711,           0.0039988,           0.0028715,             0.00901,             0.00901,             0.00901
                   7,            0.038535,           0.0056574,           0.0044087,             0.88679,             0.90432,             0.90345,             0.59955,            0.034237,           0.0038919,           0.0028247,            0.008812,            0.008812,            0.008812
                   8,            0.037696,           0.0056218,           0.0041312,              0.8829,             0.90522,             0.89864,             0.61172,             0.03258,           0.0037929,           0.0023654,            0.008614,            0.008614,            0.008614
                   9,            0.037106,            0.005588,           0.0039072,             0.88829,             0.89656,             0.89467,             0.60055,            0.034996,           0.0037753,           0.0027439,            0.008416,            0.008416,            0.008416
